date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_378,aVWAP_BoS_CHoCH_bull_442,aVWAP_BoS_CHoCH_bull_655,aVWAP_BoS_CHoCH_bull_751,aVWAP_BoS_CHoCH_bear_102,aVWAP_BoS_CHoCH_bear_405,aVWAP_BoS_CHoCH_bear_740,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-04-03 16:00:00+00:00,41.53,41.98,41.53,41.6,2606.0,,,,,42.87070001913295,,,43.48501786565032,"rgba(239, 83, 80, 1.0)",1.8030767922966724,43.48501786565032,-1.045445137835352,8,0.398760613609135,3.19008490887308,0.0,0.0,0.0,0.0
2025-04-03 17:00:00+00:00,41.65,41.91,41.36,41.805,3655.0,,,,,42.86951826467363,,,43.47512301115093,"rgba(239, 83, 80, 1.0)",1.8091151263920378,43.47512301115093,-0.9231712160196761,8,0.3971189639674872,3.1769517117398975,0.0,0.0,0.0,0.0
2025-04-03 18:00:00+00:00,41.8,42.215,41.79,42.215,5433.0,,,,,42.8683338033932,,,43.464846132194246,"rgba(239, 83, 80, 1.0)",1.808681820533359,43.464846132194246,-0.6910259825720357,8,0.3953505887877637,3.1628047103021095,0.0,0.0,0.0,0.0
2025-04-03 19:00:00+00:00,42.355,42.43,41.74,41.99,12532.0,,,,,42.86554667027237,,,43.44273213780624,"rgba(239, 83, 80, 1.0)",1.8203067705028944,43.44273213780624,-0.7980699524646013,8,0.3933572587743884,3.146858070195107,0.0,0.0,0.0,0.0
2025-04-04 14:00:00+00:00,40.625,40.625,39.14,40.3,8131.0,,,,,42.85925056271349,,,43.211315091315385,"rgba(239, 83, 80, 1.0)",1.8706539108167475,43.211315091315385,-1.556308772286091,8,0.38629873874506815,3.090389909960545,0.0,0.0,0.0,0.0
2025-04-04 15:00:00+00:00,40.18,42.16,40.18,40.68,8503.0,,,,,42.85497136201413,,,43.21229187096445,"rgba(239, 83, 80, 1.0)",1.9154624544517578,43.21229187096445,-1.3220263676163992,8,0.381105464421089,3.048843715368712,0.0,0.0,0.0,0.0
2025-04-04 16:00:00+00:00,40.73,41.265,40.37,40.43,5974.0,,,,,42.85146093498774,,,43.195822671742874,"rgba(239, 83, 80, 1.0)",1.9696512747550217,43.195822671742874,-1.4042194713309735,8,0.37535521211252093,3.0028416969001674,0.0,0.0,0.0,0.0
2025-04-04 17:00:00+00:00,40.43,40.88,39.8,40.845,3941.0,,,,,42.848959168337785,,,43.182608645450806,"rgba(239, 83, 80, 1.0)",2.010971147220888,43.182608645450806,-1.1624277397919527,8,0.371385615270414,2.971084922163312,0.0,0.0,0.0,0.0
2025-04-04 18:00:00+00:00,41.01,41.19,39.82,40.355,5239.0,,,,,42.84556609241345,,,43.164979170923104,"rgba(239, 83, 80, 1.0)",2.06134752130822,43.164979170923104,-1.36317585553928,7,0.22631502581546106,1.5842051807082274,0.0,0.0,0.0,0.0
2025-04-04 19:00:00+00:00,40.34,41.23,40.13,40.59,15300.0,,,,,42.83651559496073,,,43.12466768380706,"rgba(239, 83, 80, 1.0)",2.101544798604227,43.12466768380706,-1.2060973839294296,7,0.22782719844821936,1.5947903891375355,0.0,0.0,0.0,0.0
2025-04-07 14:00:00+00:00,40.0,43.285,39.535,41.025,9639.0,,,,,42.832488162214595,,,43.113178900598946,"rgba(239, 83, 80, 1.0)",2.1296249088166186,43.113178900598946,-0.9805383530000588,7,0.22824323344908248,1.5977026341435774,0.0,0.0,0.0,0.0
2025-04-07 15:00:00+00:00,41.025,41.51,39.89,40.78,4154.0,,,,,42.83014008897405,,,43.103312892385695,"rgba(239, 83, 80, 1.0)",2.1473555956231363,43.103312892385695,-1.0819413874074717,7,0.22867724454215835,1.6007407117951085,0.0,0.0,0.0,0.0
2025-04-07 16:00:00+00:00,40.78,40.83,40.165,40.39,3787.0,,,,,42.827734916829264,,,43.09256645051697,"rgba(239, 83, 80, 1.0)",2.174644943578277,43.09256645051697,-1.2427621614726776,7,0.22660973761908876,1.5862681633336213,0.0,0.0,0.0,0.0
2025-04-07 17:00:00+00:00,40.605,42.65,40.605,42.22,7530.0,,,,,42.82571428393019,,,43.09049513115535,"rgba(239, 83, 80, 1.0)",2.167578043941328,43.09049513115535,-0.40159805714424096,7,0.22875929791656222,1.6013150854159355,0.0,0.0,0.0,0.0
2025-04-07 18:00:00+00:00,42.31,42.31,41.32,41.36,71492.0,,,,,42.8038929279386,,,43.03154956190987,"rgba(239, 83, 80, 1.0)",2.170193087270341,43.03154956190987,-0.7702308019109663,7,0.22774053193086788,1.5941837235160752,0.0,0.0,0.0,0.0
2025-04-07 19:00:00+00:00,41.43,42.28,41.41,41.765,42927.0,,,,,42.79290739350107,,,43.00190138331645,"rgba(239, 83, 80, 1.0)",2.172976905222549,43.00190138331645,-0.5692197557846437,7,0.22688172907667398,1.5881721035367178,0.0,0.0,0.0,0.0
2025-04-08 14:00:00+00:00,44.365,44.44,41.995,42.09,15501.0,,,,,42.793102863525604,,,43.00806417709517,"rgba(239, 83, 80, 1.0)",2.179693688704106,43.00806417709517,-0.42118953771022066,7,0.22635494280495685,1.584484599634698,0.0,0.0,0.0,0.0
2025-04-08 15:00:00+00:00,42.17,42.33,41.45,41.79,7874.0,,,,,42.79119979975262,,,43.002663934598715,"rgba(239, 83, 80, 1.0)",2.1875002970398625,43.002663934598715,-0.5543605805401258,6,0.22730844168463563,1.3638506501078138,0.0,0.0,0.0,0.0
2025-04-08 16:00:00+00:00,41.62,41.74,40.41,40.52,13106.0,,,,,42.78479049238094,,,42.98096534445733,"rgba(239, 83, 80, 1.0)",2.2159211738346163,42.98096534445733,-1.110583432983163,6,0.2246430519731999,1.3478583118391994,0.0,0.0,0.0,0.0
2025-04-08 17:00:00+00:00,40.52,41.0,40.06,41.0,5642.0,,,,,42.78174997455022,,,42.970748666467266,"rgba(239, 83, 80, 1.0)",2.2303971043836968,42.970748666467266,-0.8835864531001635,6,0.2227440955424447,1.3364645732546683,0.0,0.0,0.0,0.0
2025-04-08 18:00:00+00:00,41.055,41.34,40.005,40.005,8541.0,,,,,42.776645837124285,,,42.95364454637334,"rgba(239, 83, 80, 1.0)",2.265501853596369,42.95364454637334,-1.3015414406713082,5,0.24230429506499646,1.2115214753249823,0.0,0.0,0.0,0.0
2025-04-08 19:00:00+00:00,40.04,40.105,39.07,39.86,24336.0,,,,,42.75744121534001,,,42.88984813596048,"rgba(239, 83, 80, 1.0)",2.2947637653446322,42.88984813596048,-1.3203311738301957,4,0.19324020909427286,0.7729608363770915,0.0,0.0,0.0,0.0
2025-04-09 14:00:00+00:00,40.84,41.11,39.835,39.835,11336.0,,,,,42.75025112537509,,,42.867793409634174,"rgba(239, 83, 80, 1.0)",2.315915628471412,42.867793409634174,-1.3095439973501655,4,0.19009919576336187,0.7603967830534475,0.0,0.0,0.0,0.0
2025-04-09 15:00:00+00:00,39.85,40.245,39.065,39.245,14953.0,,,,,42.73802407491039,,,42.62106480117469,"rgba(239, 83, 80, 1.0)",2.3446865308454066,42.62106480117469,-1.4398789589828067,4,0.1861991561263459,0.7447966245053836,0.0,0.0,0.0,0.0
2025-04-09 16:00:00+00:00,39.245,40.34,39.245,40.0,7758.0,,,,,42.73238933234146,,,42.61052329081876,"rgba(239, 83, 80, 1.0)",2.354207345419083,42.61052329081876,-1.1088756884130997,4,0.183694796057076,0.734779184228304,0.0,0.0,0.0,0.0
2025-04-09 17:00:00+00:00,39.96,44.55,39.96,44.3,11707.0,,,,,42.73299142773939,,,42.67306963859958,"rgba(38, 166, 154, 1.0)",2.3094327391323866,42.67306963859958,0.7044718531233899,4,0.18370205328306563,0.7348082131322625,0.0,0.0,0.0,0.0
2025-04-09 18:00:00+00:00,44.4,45.1,42.865,42.88,18745.0,,,,,42.73713440909388,,,42.740134429331775,"rgba(38, 166, 154, 1.0)",2.2530699316969853,42.740134429331775,0.062077776060365165,4,0.2970028981783639,1.1880115927134556,0.0,0.0,0.0,0.0
