date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_162,aVWAP_BoS_CHoCH_bull_405,aVWAP_BoS_CHoCH_bull_578,aVWAP_BoS_CHoCH_bull_630,aVWAP_BoS_CHoCH_bull_773,aVWAP_BoS_CHoCH_bear_384,aVWAP_BoS_CHoCH_bear_804,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-04-11 15:00:00+00:00,231.75,231.75,228.14,228.74,2756.0,,,,,,,,236.2418104805653,"rgba(38, 166, 154, 1.0)",25.227003871334432,236.2418104805653,-0.29737223329519685,0,,,0.0,0.0,0.0,0.0,56.38927798299235,-2.0180617772003444,True,False,True,False,True,0.0
2025-04-11 16:00:00+00:00,228.81,231.24,226.69,230.22,3847.0,,,,,,,,236.34823184485384,"rgba(38, 166, 154, 1.0)",25.27968900766626,236.34823184485384,-0.2424172165644684,0,,,0.0,0.0,0.0,0.0,59.139965709655115,0.5769235277347065,True,False,True,False,True,0.0
2025-04-11 17:00:00+00:00,230.22,230.31,226.77,228.025,3066.0,,,,,,,,236.39405769065854,"rgba(38, 166, 154, 1.0)",25.3472569859484,236.39405769065854,-0.33017606975374253,0,,,0.0,0.0,0.0,0.0,59.88383879501533,1.4892814419299754,True,False,True,False,True,0.0
2025-04-11 18:00:00+00:00,227.975,230.18,227.945,229.94,7114.0,,,,,,,,236.4982316988132,"rgba(38, 166, 154, 1.0)",25.393106115069287,236.4982316988132,-0.2582681956706863,0,,,0.0,0.0,0.0,0.0,60.98877791186008,2.9273392316680997,True,False,True,False,True,0.0
2025-04-11 19:00:00+00:00,230.08,232.86,229.72,230.38,11676.0,,,,,,,,236.66822676728287,"rgba(38, 166, 154, 1.0)",25.43538885043771,236.66822676728287,-0.2472235358483488,0,,,0.0,0.0,0.0,0.0,61.87357045705545,4.259306020203368,True,False,True,False,True,0.0
2025-04-14 14:00:00+00:00,247.8,250.47,242.27,243.01,6470.0,,,,,,,,238.8106908223655,"rgba(38, 166, 154, 1.0)",25.424421112227705,238.8106908223655,0.16516833005156842,0,,,0.0,0.0,0.0,0.0,65.86397220133861,8.441429683269838,True,False,True,False,True,1.556054670109468
2025-04-14 15:00:00+00:00,243.01,243.44,238.295,238.49,3649.0,,,,,,,,238.5761388790159,"rgba(38, 166, 154, 1.0)",25.416312212031418,238.5761388790159,-0.003389117913617513,0,,,0.0,0.0,0.0,0.0,66.02570823682595,9.006595843952503,True,False,True,False,True,0.0
2025-04-14 16:00:00+00:00,238.49,242.19,236.955,241.76,6130.0,,,,,,,,238.55727938523563,"rgba(38, 166, 154, 1.0)",25.4039103780401,238.55727938523563,0.12607195377027025,0,,,0.0,0.0,0.0,0.0,66.98948417859182,10.412953967381739,True,False,True,False,True,0.9061752807943151
2025-04-14 17:00:00+00:00,242.83,242.83,239.98,241.19,7132.0,,,,,,,,238.74602477201293,"rgba(38, 166, 154, 1.0)",25.320904372182746,238.74602477201293,0.09652006073969421,0,,,0.0,0.0,0.0,0.0,67.29330615092658,11.232707547195979,True,False,True,False,True,0.6173184547800155
2025-04-14 18:00:00+00:00,241.05,243.62,241.05,242.63,6745.0,,,,,,,,238.9948616742035,"rgba(38, 166, 154, 1.0)",25.234452416066745,238.9948616742035,0.14405457530285126,0,,,0.0,0.0,0.0,0.0,67.92617033588186,12.374905486591828,True,False,True,False,True,1.3399206374536696
