date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_404,aVWAP_BoS_CHoCH_bull_451,aVWAP_BoS_CHoCH_bull_539,aVWAP_BoS_CHoCH_bull_626,aVWAP_BoS_CHoCH_bear_117,aVWAP_BoS_CHoCH_bear_764,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-05-16 16:00:00+00:00,7.525,7.525,7.52,7.525,100.0,,,,,7.314038714948343,,7.439807615330539,"rgba(38, 166, 154, 1.0)",0.029698181459171274,7.439807615330539,2.8686061059524235,0,,,0.0,0.0,0.0,0.0,72.68921365249214,18.030620904456867,True,False,True,False,True,15.511812502004819
2025-05-16 17:00:00+00:00,7.525,7.525,7.51,7.51,199.0,,,,,7.317151604784513,,7.442976084488883,"rgba(38, 166, 154, 1.0)",0.028419318388334527,7.442976084488883,2.35839278744378,0,,,0.0,0.0,0.0,0.0,69.75006577579529,18.030620904456867,True,False,True,False,False,12.917422064931934
2025-05-16 18:00:00+00:00,7.51,7.51,7.5,7.5,0.0,,,,,7.317151604784513,,7.442976084488883,"rgba(38, 166, 154, 1.0)",0.02754226890756166,7.442976084488883,2.070414594473042,0,,,0.0,0.0,0.0,0.0,65.17583264578207,20.67726492107188,True,False,True,False,False,11.23590657738199
2025-05-16 19:00:00+00:00,7.5,7.5,7.5,7.5,0.0,,,,,7.317151604784513,,7.442976084488883,"rgba(38, 166, 154, 1.0)",0.026729037420776904,7.442976084488883,2.1334069990410933,0,,,0.0,0.0,0.0,0.0,62.12634389243992,18.023381079825413,True,False,True,False,False,11.23590657738199
2025-05-19 14:00:00+00:00,7.5,7.5,7.48,7.48,0.0,,,,,7.317151604784513,,7.442976084488883,"rgba(239, 83, 80, 1.0)",0.025990816118821036,7.442976084488883,1.4244999211204685,0,,,0.0,0.0,0.0,0.0,55.664372184134656,12.224912198596485,False,False,True,False,False,7.932745050349379
2025-05-19 15:00:00+00:00,7.48,7.48,7.475,7.475,0.0,,,,,7.317151604784513,,7.442976084488883,"rgba(239, 83, 80, 1.0)",0.02478738417853429,7.442976084488883,1.2919441309522641,0,,,0.0,0.0,0.0,0.0,50.46556463898054,7.708205616708163,False,True,False,False,False,7.1302200004088085
2025-05-19 16:00:00+00:00,7.475,7.48,7.475,7.48,0.0,,,,,7.317151604784513,,7.442976084488883,"rgba(239, 83, 80, 1.0)",0.023514994258021508,7.442976084488883,1.5744811631619877,0,,,0.0,0.0,0.0,0.0,48.31262552632182,5.917399392696318,False,True,False,True,False,7.79383409379437
2025-05-19 17:00:00+00:00,7.48,7.53,7.48,7.53,507.0,,,,,7.324599870201186,,7.464762972513006,"rgba(38, 166, 154, 1.0)",0.023369727087494244,7.464762972513006,2.7915185848235566,0,,,0.0,0.0,0.0,0.0,54.8111384163856,5.917399392696318,False,False,True,False,True,13.890875511164161
2025-05-19 18:00:00+00:00,7.53,7.53,7.495,7.52,466.0,,,,,7.331020019295705,,7.473436170394041,"rgba(38, 166, 154, 1.0)",0.02386618098050889,7.473436170394041,1.9510381507618186,0,,,0.0,0.0,0.0,0.0,57.17041437087285,-1.2899767492320393,False,False,True,False,True,12.275014963795819
2025-05-19 19:00:00+00:00,7.52,7.52,7.495,7.495,312.0,,,,,7.33482427587508,,7.474096482610227,"rgba(38, 166, 154, 1.0)",0.023794919587970934,7.474096482610227,0.8784865740979741,0,,,0.0,0.0,0.0,0.0,54.67679728441231,-1.2899767492320393,False,False,True,False,True,8.40721294160032
