date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_59,aVWAP_BoS_CHoCH_bull_194,aVWAP_BoS_CHoCH_bull_269,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-03-06 17:00:00+00:00,47.1,47.23,46.17,46.41,84938.0,42.26247871630161,44.10925418941731,44.95850132187121,42.91761390011019,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-07 17:00:00+00:00,45.98,47.16,45.69,46.86,68673.0,42.29968730601554,44.1426766755385,45.01261593916592,42.946185985664336,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-10 17:00:00+00:00,46.965,47.0,46.37,46.76,54730.0,42.32984131432854,44.170169299614756,45.05685788858578,42.97325681151111,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-11 17:00:00+00:00,46.915,46.945,46.23,46.26,57102.0,42.35922489815973,44.19567297637042,45.09449070412217,42.996839564548566,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-12 17:00:00+00:00,46.13,46.45,46.04,46.06,81917.0,42.397690879628854,44.22668791846594,45.13433135071209,43.02346976150875,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-13 17:00:00+00:00,46.435,46.47,46.01,46.01,60338.0,42.42538558298506,44.24869349551026,45.161336372895484,43.043530489822786,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-14 17:00:00+00:00,45.86,46.695,45.345,46.215,67587.0,42.455287711040576,44.2717719822987,45.18771374942677,43.06491066516812,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-17 17:00:00+00:00,46.255,46.51,46.13,46.225,66049.0,42.485651768416375,44.296238671524556,45.21759536249827,43.08981106653806,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-18 17:00:00+00:00,46.585,46.845,46.51,46.745,64864.0,42.51818432408498,44.32454271431861,45.25609381378976,43.12107514159546,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-19 17:00:00+00:00,48.55,48.55,47.73,48.01,73573.0,42.56660517992088,44.37425867526443,45.33737478340187,43.18128904487964,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-20 17:00:00+00:00,47.735,48.45,47.735,48.09,117887.0,42.64239352545265,44.45114012001136,45.45812039287217,43.27156549902696,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-21 17:00:00+00:00,47.88,48.03,47.715,47.87,55491.0,42.67594163907867,44.48411805663302,45.50691849366411,43.30909535528751,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-24 17:00:00+00:00,48.165,48.22,47.75,48.08,50043.0,42.706663136059994,44.514567526493984,45.55186033647759,43.34363695311373,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-25 17:00:00+00:00,48.485,48.645,48.4,48.605,33036.0,42.72876867631457,44.537400450408654,45.5868881393475,43.36982454711718,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-26 17:00:00+00:00,48.105,48.49,47.97,48.35,84597.0,42.78193382756033,44.59070975276432,45.66482892677785,43.42976100065425,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-27 17:00:00+00:00,48.56,48.865,48.21,48.8,56672.0,42.81924962349507,44.628942622091415,45.72133384743653,43.758954118385965,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-28 17:00:00+00:00,47.865,47.88,47.54,47.77,32069.0,42.83693238136966,44.64548407477935,45.74279871418116,43.75789889416597,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-31 17:00:00+00:00,47.7,48.565,47.62,48.325,61759.0,42.873660005553965,44.68132173130639,45.79174212331481,43.79202118522241,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
