date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color
2025-07-01 18:55:00+00:00,62.935,62.935,62.905,62.93,2040.0,62.80708451216245,"rgba(239, 83, 80, 0.75)"
2025-07-01 19:00:00+00:00,62.93,62.935,62.905,62.905,4034.0,62.81678096880561,"rgba(239, 83, 80, 1.0)"
2025-07-01 19:05:00+00:00,62.905,62.945,62.905,62.945,132.0,62.86231673804208,"rgba(239, 83, 80, 0.75)"
2025-07-01 19:10:00+00:00,62.945,62.965,62.935,62.955,467.0,62.90426406453487,#000000
2025-07-01 19:15:00+00:00,62.955,62.965,62.95,62.965,567.0,62.906605782709086,"rgba(38, 166, 154, 0.5)"
2025-07-01 19:20:00+00:00,62.965,62.965,62.945,62.945,297.0,62.90691282091446,#000000
2025-07-01 19:25:00+00:00,62.945,62.95,62.915,62.935,920.0,62.90556760313316,#000000
2025-07-01 19:30:00+00:00,62.935,62.945,62.935,62.94,7869.0,62.907547948585055,#000000
2025-07-01 19:35:00+00:00,62.945,62.945,62.925,62.93,1664.0,62.90737488528564,#000000
2025-07-01 19:40:00+00:00,62.93,62.93,62.915,62.925,3520.0,62.90589917068197,#000000
2025-07-01 19:45:00+00:00,62.925,62.945,62.925,62.94,637.0,62.90599565694955,#000000
2025-07-01 19:50:00+00:00,62.945,62.945,62.925,62.925,1222.0,62.90596763248224,#000000
2025-07-01 19:55:00+00:00,62.925,62.945,62.925,62.93,3728.0,62.90612750817231,#000000
2025-07-02 13:30:00+00:00,63.04,63.05,62.98,63.01,699.0,62.94976868831054,"rgba(38, 166, 154, 1.0)"
2025-07-02 13:35:00+00:00,63.005,63.015,62.935,62.945,3747.0,62.948140052042596,"rgba(38, 166, 154, 1.0)"
2025-07-02 13:40:00+00:00,62.945,63.025,62.945,63.015,497.0,62.949007770123316,"rgba(38, 166, 154, 1.0)"
2025-07-02 13:45:00+00:00,63.015,63.02,62.87,62.895,1000.0,62.94788675681441,#000000
2025-07-02 13:50:00+00:00,62.89,62.92,62.865,62.875,1399.0,62.944589906670636,#000000
2025-07-02 13:55:00+00:00,62.875,62.895,62.85,62.895,249.0,62.94401706966247,"rgba(239, 83, 80, 1.0)"
2025-07-02 14:00:00+00:00,62.895,62.91,62.855,62.875,10873.0,62.92856438791777,"rgba(239, 83, 80, 1.0)"
2025-07-02 14:05:00+00:00,62.875,62.89,62.835,62.855,1019.0,62.927149354380404,"rgba(239, 83, 80, 1.0)"
2025-07-02 14:10:00+00:00,62.855,62.875,62.84,62.845,931.0,62.925784586343,"rgba(239, 83, 80, 1.0)"
2025-07-02 14:15:00+00:00,62.845,62.87,62.825,62.87,8077.0,62.90505756302482,"rgba(239, 83, 80, 1.0)"
2025-07-02 14:20:00+00:00,62.865,62.905,62.85,62.9,4270.0,62.90454946664279,"rgba(239, 83, 80, 1.0)"
2025-07-02 14:25:00+00:00,62.905,62.93,62.875,62.895,3507.0,62.904973453994856,"rgba(239, 83, 80, 0.75)"
2025-07-02 14:30:00+00:00,62.895,62.925,62.885,62.905,3641.0,62.90549332357527,"rgba(239, 83, 80, 0.75)"
2025-07-02 14:35:00+00:00,62.905,62.93,62.9,62.925,102.0,62.905530362581736,#000000
2025-07-02 14:40:00+00:00,62.925,62.95,62.885,62.945,1791.0,62.90640886532249,#000000
2025-07-02 14:45:00+00:00,62.955,62.985,62.925,62.945,4701.0,62.91024371804946,"rgba(38, 166, 154, 1.0)"
2025-07-02 14:50:00+00:00,62.945,62.985,62.925,62.975,679.0,62.9108408804664,"rgba(38, 166, 154, 1.0)"
2025-07-02 14:55:00+00:00,62.975,63.005,62.965,62.995,5894.0,62.923901222713326,"rgba(38, 166, 154, 1.0)"
2025-07-02 15:00:00+00:00,62.995,63.005,62.985,62.995,784.0,62.93195644332976,"rgba(38, 166, 154, 1.0)"
2025-07-02 15:05:00+00:00,62.995,63.005,62.955,62.975,4265.0,62.93877810907206,"rgba(38, 166, 154, 1.0)"
2025-07-02 15:10:00+00:00,62.975,63.005,62.945,62.99,409.0,62.94489775082663,"rgba(38, 166, 154, 1.0)"
2025-07-02 15:15:00+00:00,62.985,63.005,62.92,62.975,2438.0,62.94357941817564,"rgba(38, 166, 154, 1.0)"
2025-07-02 15:20:00+00:00,62.975,62.98,62.94,62.94,460.0,62.94314422752552,"rgba(38, 166, 154, 0.75)"
2025-07-02 15:25:00+00:00,62.945,62.98,62.925,62.98,1000.0,62.942964381575436,"rgba(38, 166, 154, 0.75)"
2025-07-02 15:30:00+00:00,62.975,62.995,62.97,62.985,1002.0,62.94405088372618,"rgba(38, 166, 154, 0.75)"
2025-07-02 15:35:00+00:00,62.985,63.0,62.985,62.99,1420.0,62.94587123808439,"rgba(38, 166, 154, 0.75)"
2025-07-02 15:40:00+00:00,62.985,62.995,62.95,62.97,2495.0,62.946467506654265,"rgba(38, 166, 154, 0.75)"
2025-07-02 15:45:00+00:00,62.965,62.99,62.945,62.975,2.0,62.94646787593259,"rgba(38, 166, 154, 0.75)"
2025-07-02 15:50:00+00:00,62.975,63.0,62.95,62.955,1205.0,62.94662747826004,"rgba(38, 166, 154, 0.75)"
2025-07-02 15:55:00+00:00,62.955,62.965,62.94,62.96,252.0,62.94654664284427,#000000
2025-07-02 16:00:00+00:00,62.965,63.03,62.965,63.025,2112.0,62.949412143385246,"rgba(38, 166, 154, 1.0)"
2025-07-02 16:05:00+00:00,63.025,63.075,63.015,63.07,2761.0,62.956050665445446,"rgba(38, 166, 154, 1.0)"
2025-07-02 16:10:00+00:00,63.07,63.075,63.045,63.055,574.0,62.95734013614715,"rgba(38, 166, 154, 1.0)"
2025-07-02 16:15:00+00:00,63.06,63.095,63.055,63.075,4466.0,62.96759066332576,"rgba(38, 166, 154, 1.0)"
2025-07-02 16:20:00+00:00,63.075,63.095,63.065,63.07,1903.0,62.97128025030763,"rgba(38, 166, 154, 1.0)"
2025-07-02 16:25:00+00:00,63.065,63.07,63.05,63.05,54.0,62.97135649596256,"rgba(38, 166, 154, 1.0)"
2025-07-02 16:30:00+00:00,63.055,63.075,63.045,63.045,66.0,62.97144705855872,"rgba(38, 166, 154, 0.75)"
2025-07-02 16:35:00+00:00,63.045,63.075,63.025,63.075,0.0,62.97144705855872,"rgba(38, 166, 154, 0.75)"
2025-07-02 16:40:00+00:00,63.075,63.095,63.075,63.08,1281.0,62.97390231492466,"rgba(38, 166, 154, 0.75)"
2025-07-02 16:45:00+00:00,63.075,63.105,63.07,63.095,100.0,62.974101373624606,"rgba(38, 166, 154, 0.75)"
2025-07-02 16:50:00+00:00,63.095,63.1,63.075,63.085,279.0,62.97463267286929,"rgba(38, 166, 154, 0.75)"
2025-07-02 16:55:00+00:00,63.085,63.115,63.085,63.095,23869.0,63.00809825984161,"rgba(38, 166, 154, 1.0)"
2025-07-02 17:00:00+00:00,63.095,63.125,63.09,63.115,9445.0,63.017431658226016,"rgba(38, 166, 154, 1.0)"
2025-07-02 17:05:00+00:00,63.115,63.135,63.105,63.105,2975.0,63.03335082499043,"rgba(38, 166, 154, 1.0)"
2025-07-02 17:10:00+00:00,63.105,63.115,63.095,63.095,1114.0,63.03371224742425,"rgba(38, 166, 154, 1.0)"
2025-07-02 17:15:00+00:00,63.095,63.11,63.095,63.105,18.0,63.033720596641125,"rgba(38, 166, 154, 0.75)"
2025-07-02 17:20:00+00:00,63.105,63.11,63.095,63.105,3200.0,63.0354123095889,"rgba(38, 166, 154, 0.75)"
2025-07-02 17:25:00+00:00,63.105,63.105,63.08,63.105,4973.0,63.03758704125069,"rgba(38, 166, 154, 0.75)"
2025-07-02 17:30:00+00:00,63.105,63.12,63.085,63.095,3951.0,63.039542381918,"rgba(38, 166, 154, 0.75)"
2025-07-02 17:35:00+00:00,63.095,63.105,63.095,63.105,450.0,63.03976943260134,"rgba(38, 166, 154, 0.75)"
2025-07-02 17:40:00+00:00,63.105,63.115,63.1,63.105,10215.0,63.04508375745179,"rgba(38, 166, 154, 0.75)"
2025-07-02 17:45:00+00:00,63.105,63.115,63.09,63.115,7011.0,63.04820866496186,"rgba(38, 166, 154, 0.75)"
2025-07-02 17:50:00+00:00,63.115,63.125,63.105,63.115,7714.0,63.05186714942643,"rgba(38, 166, 154, 1.0)"
2025-07-02 17:55:00+00:00,63.12,63.135,63.115,63.135,1203.0,63.05254365737981,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:00:00+00:00,63.135,63.135,63.11,63.135,466.0,63.0527948480811,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:05:00+00:00,63.135,63.145,63.12,63.135,3035.0,63.054561108834875,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:10:00+00:00,63.135,63.175,63.135,63.165,6291.0,63.05924250084733,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:15:00+00:00,63.165,63.18,63.165,63.175,1019.0,63.060078839151345,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:20:00+00:00,63.175,63.19,63.17,63.185,20673.0,63.07564004747884,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:25:00+00:00,63.185,63.19,63.18,63.185,4245.0,63.078398712590726,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:30:00+00:00,63.185,63.19,63.175,63.185,378.0,63.07863285668022,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:35:00+00:00,63.185,63.185,63.175,63.18,2002.0,63.079811024797934,"rgba(38, 166, 154, 1.0)"
2025-07-02 18:40:00+00:00,63.175,63.175,63.17,63.175,5563.0,63.082703702550816,"rgba(38, 166, 154, 0.75)"
2025-07-02 18:45:00+00:00,63.175,63.195,63.17,63.195,1084.0,63.08333437666105,"rgba(38, 166, 154, 0.75)"
2025-07-02 18:50:00+00:00,63.195,63.195,63.175,63.175,3.0,63.083336017997475,"rgba(38, 166, 154, 0.75)"
