date,Close,High,Low,Open,Volume,aVWAP_OB_bull_616,aVWAP_OB_bull_573,aVWAP_OB_bull_466,aVWAP_OB_bull_442,aVWAP_OB_bull_353,aVWAP_OB_bear_764,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-03-09 00:00:00+00:00,10.8136258015,10.9226830213,10.6678068589,10.8213004827,33794,,,,,,,10.809517447196022,"rgba(38, 166, 154, 0.5)",,10.809517447196022,,53.71957791457979,-2.2641073045209623,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-116624,-62011.77235421476,False,False,False,False,31442.22009826227,False,False,False,False
2022-03-10 00:00:00+00:00,10.8903726135,10.8980472947,10.6945147494,10.7675777144,36872,,,,,,,10.80750769589531,"rgba(38, 166, 154, 0.5)",,10.80750769589531,,53.979413790374124,-2.2641073045209623,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-79752,-62707.46755601026,False,False,False,False,31655.15264342846,False,False,False,False
2022-03-11 00:00:00+00:00,10.790601758,10.9747941066,10.790601758,10.8980472947,5655,,,,,,,10.807924398634263,"rgba(38, 166, 154, 0.5)",,10.807924398634263,,52.64541938675784,-2.2641073045209623,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-85407,-63597.64529891182,False,False,False,False,30635.538814274405,False,False,False,False
2022-03-14 00:00:00+00:00,10.4068676983,10.7829270768,10.4068676983,10.7829270768,15565,,,,,,,10.792827750378514,"rgba(239, 83, 80, 0.5)",,10.792827750378514,,47.427767849521985,3.6205373049771197,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-100972,-65063.306267581946,False,False,False,False,30044.537292145997,False,False,False,False
2022-03-15 00:00:00+00:00,10.3377955675,10.468188401,10.2456993932,10.2456993932,55680,,,,,,,10.656100085404221,"rgba(239, 83, 80, 0.5)",,10.656100085404221,,43.34602689575459,-0.2659425237881692,False,False,False,True,False,0.0,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.24912933162017054,-0.24912933162017054,False,False,False,False,-156652,-68655.01974728462,False,False,False,False,31049.849555199096,False,False,False,False
2022-03-16 00:00:00+00:00,10.4682651478,10.5373372786,10.3761689735,10.3761689735,44362,,,,,,,10.648678149467433,"rgba(239, 83, 80, 0.5)",,10.648678149467433,,42.6186073140599,-0.9745910974362104,False,False,False,True,False,0.0,,0.0,0.0,0.0,0.0,0,0.955093028020204,0.9701500453438922,False,False,False,False,-0.17125474096745708,-0.2101920362938138,False,False,False,False,-112290,-70366.19544346954,False,False,False,False,31571.894670681486,False,False,False,False
2022-03-17 00:00:00+00:00,10.6140840905,10.6524574965,10.5296625974,10.5450119598,12717,,,,,,,10.651807619368103,"rgba(239, 83, 80, 0.5)",,10.651807619368103,,44.13190806713189,-0.9745910974362104,False,False,False,True,False,0.0,,0.0,0.0,0.0,0.0,0,0.9396139647983476,0.9631398360869812,False,False,False,False,-0.0694614246737356,-0.1398267304837747,False,False,False,False,-99573,-71511.56032803936,False,False,False,False,30832.487036537113,False,False,False,False
2022-03-18 00:00:00+00:00,10.5910600469,10.6678068589,10.5565239816,10.6678068589,1661,,,,,,,10.652181934904917,"rgba(239, 83, 80, 0.5)",,10.652181934904917,,44.86743315022978,-0.9745910974362104,False,False,False,True,False,0.0,,0.0,0.0,0.0,0.0,0,0.9497453596537423,0.9635947434290066,False,False,False,False,-0.05364775769832295,-0.09673724409104882,False,False,False,False,-101234,-72677.14619752801,False,False,False,False,29688.507152751346,False,False,False,False
2022-03-21 00:00:00+00:00,10.7445536708,10.8059511203,10.6524574965,10.6524574965,30632,,,,,,,10.66819648142127,#000000,,10.66819648142127,,47.38074456472894,-0.9745910974362104,False,False,False,False,True,0.6483973166948651,,0.0,0.0,0.0,0.0,0,0.9533443255513562,0.9368957526229561,False,False,False,False,0.033777229589901585,-0.03148000725057362,False,False,False,False,-70602,-72595.76791527201,False,False,False,False,29725.506872251295,False,False,False,False
2022-03-22 00:00:00+00:00,10.7982764392,10.8903726135,10.752228352,10.8366498451,15334,,,,,,,10.677289165896022,#000000,,10.677289165896022,,49.71822035078145,-6.424927560425303,False,False,False,False,True,1.6540034203961866,,0.0,0.0,0.0,0.0,0,0.9565793013386023,0.9318577239059244,False,False,False,False,0.1028685874655678,0.03569429010749709,False,False,False,False,-55268,-71916.24760486919,False,False,False,False,29161.134053731636,False,False,False,False
