date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2024-08-28 00:00:00+00:00,2.55,2.62,2.51,2.57,958767,1,0.26936068829413545,0.26936068829413545,3.787351833962626
2024-08-29 00:00:00+00:00,2.64,2.72,2.5301,2.57,1022814,1,0.2699156574235789,0.2699156574235789,3.7801311839829856
2024-08-30 00:00:00+00:00,2.64,2.71,2.61,2.66,848358,1,0.27143552646274544,0.27143552646274544,3.7746643008968057
2024-09-03 00:00:00+00:00,2.44,2.55,2.37,2.55,2102458,1,0.2728904365325614,0.2728904365325614,3.7550582103021206
2024-09-04 00:00:00+00:00,2.45,2.52,2.39,2.42,1010717,1,0.2748042962923211,0.2748042962923211,3.7462344682278768
2024-09-05 00:00:00+00:00,2.44,2.51,2.41,2.44,676474,1,0.27518180334557735,0.27518180334557735,3.7405002481378364
2024-09-06 00:00:00+00:00,2.31,2.46,2.3,2.43,1058448,1,0.27533515446088136,0.27533515446088136,3.7303661466151934
2024-09-09 00:00:00+00:00,2.16,2.32,2.16,2.32,1477084,1,0.27467034664969814,0.27467034664969814,3.7140637634904827
2024-09-10 00:00:00+00:00,2.15,2.165,2.07,2.16,918765,1,0.2744215807979493,0.2744215807979493,3.610718623733587
2024-09-11 00:00:00+00:00,2.49,2.6195,2.37,2.4,3226799,0,,,3.6071836017830043
2024-09-12 00:00:00+00:00,2.59,2.67,2.51,2.51,1790466,0,,,3.601333181584332
2024-09-13 00:00:00+00:00,2.54,2.7,2.485,2.65,1287727,0,,,3.5958892833777067
2024-09-16 00:00:00+00:00,2.53,2.63,2.46,2.54,970492,0,,,3.5910238510433725
2024-09-17 00:00:00+00:00,2.56,2.578,2.485,2.53,725671,0,,,3.587382847301729
2024-09-18 00:00:00+00:00,2.52,2.66,2.51,2.53,1421547,0,,,3.5807302303288657
2024-09-19 00:00:00+00:00,2.61,2.65,2.5812,2.61,948571,0,,,3.5769670083219647
2024-09-20 00:00:00+00:00,2.48,2.61,2.435,2.59,2208866,0,,,3.564943683521885
2024-09-23 00:00:00+00:00,2.58,2.61,2.455,2.46,1028083,0,,,3.559993903063344
2024-09-24 00:00:00+00:00,2.87,2.94,2.68,2.68,2397026,0,,,3.5566440091756326
2024-09-25 00:00:00+00:00,2.89,2.93,2.83,2.875,1429502,0,,,3.5551398429661645
2024-09-26 00:00:00+00:00,3.28,3.3,2.99,2.99,2769936,0,,,3.560609603040925
2024-09-27 00:00:00+00:00,3.24,3.46,3.2,3.33,3454850,0,,,3.568884680059806
2024-09-30 00:00:00+00:00,3.26,3.34,3.22,3.29,2162860,0,,,3.572309263710275
2024-10-01 00:00:00+00:00,3.22,3.33,3.1811,3.26,1410185,0,,,3.5737794515734045
2024-10-02 00:00:00+00:00,3.22,3.26,3.14,3.22,1228968,0,,,3.5744526930760125
2024-10-03 00:00:00+00:00,3.08,3.17,3.02,3.17,967270,0,,,3.573865723865899
