date,Open,High,Low,Close,Volume,aVWAP_OB_bull_798,aVWAP_OB_bull_406,aVWAP_OB_bull_366,aVWAP_OB_bull_164,aVWAP_OB_bull_143,aVWAP_OB_bear_624,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-17 15:00:00+00:00,18.88,19.07,18.86,19.0,3792.0,,,,,,,0.0,0.0,0.0,0.0,19.45685132496085,#000000,,19.45685132496085,,35.76006157509072,-10.234376481338089,False,True,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,32904.0,4779.1397283015085,False,False,False,False,10656.079998100951,False,False,False,False
2024-12-17 16:00:00+00:00,19.015,19.045,18.915,19.005,4946.0,,,,,,,0.0,0.0,0.0,0.0,19.449581507872523,#000000,,19.449581507872523,,35.6861598527738,-10.234376481338089,False,True,False,True,True,0.0,19.4685,,0,,,False,False,False,False,,,False,False,False,False,37850.0,5291.8662441417955,False,False,False,False,10567.55162603737,False,False,False,False
2024-12-17 17:00:00+00:00,19.005,19.1,18.975,19.08,2859.0,,,,,,,0.0,0.0,0.0,0.0,19.446428545427487,#000000,,19.446428545427487,,37.183122996635355,-10.234376481338089,False,True,False,True,True,0.0,19.4632,,0,,,False,False,False,False,,,False,False,False,False,40709.0,5840.969093069829,False,False,False,False,10448.039197726714,False,False,False,False
2024-12-17 18:00:00+00:00,19.085,19.155,19.06,19.145,1646.0,,,,,,,0.0,0.0,0.0,0.0,19.445194975228826,#000000,,19.445194975228826,,39.50512830427573,-10.234376481338089,False,True,False,True,True,0.0,19.459600000000002,,0,,,False,False,False,False,,,False,False,False,False,42355.0,6407.078099378824,False,False,False,False,10311.57347373095,False,False,False,False
2024-12-17 19:00:00+00:00,19.15,19.185,19.085,19.175,4667.0,,,,,,,0.0,0.0,0.0,0.0,19.393342734895214,#000000,,19.393342734895214,,41.73112575380985,-13.013014225200934,False,True,False,True,True,0.0,19.456200000000003,,0,,,False,False,False,False,,,False,False,False,False,47022.0,7036.766811016361,False,False,False,False,10224.06070669636,False,False,False,False
2024-12-17 20:00:00+00:00,19.16,19.175,18.985,19.055,24398.0,,,,,,,0.0,0.0,0.0,0.0,19.363926785717293,#000000,,19.363926785717293,,41.45945516453176,-13.013014225200934,False,False,False,True,True,0.0,19.448,,0,,,False,False,False,False,,,False,False,False,False,22624.0,7278.429341078123,False,False,False,False,10443.811703491765,False,False,False,False
2024-12-18 15:00:00+00:00,18.93,18.935,18.82,18.875,10347.0,,,,,,,0.0,0.0,0.0,0.0,19.34118040208414,#000000,,19.34118040208414,,39.10738781116864,-13.013014225200934,False,True,False,True,False,0.0,19.436300000000003,,0,,,False,False,False,False,,,False,False,False,False,12277.0,7355.926560596291,False,False,False,False,10442.310746848481,False,False,False,False
2024-12-18 16:00:00+00:00,18.875,18.875,18.67,18.745,19456.0,,,,,,,0.0,0.0,0.0,0.0,19.297114502587718,#000000,,19.297114502587718,,36.20962636241265,-9.148922244996136,False,True,False,True,False,0.0,19.4219,,0,,,False,False,False,False,,,False,False,False,False,-7179.0,7130.578861982395,False,False,False,False,10582.057867052381,False,False,False,False
2024-12-18 17:00:00+00:00,18.745,18.77,18.67,18.74,4151.0,,,,,,,0.0,0.0,0.0,0.0,19.288581477323728,#000000,,19.288581477323728,,34.095128721403896,-11.154593018030916,False,True,False,True,False,0.0,19.416700000000002,,0,,,False,False,False,False,,,False,False,False,False,-11330.0,6844.36833699042,False,False,False,False,10482.351543532188,False,False,False,False
2024-12-18 18:00:00+00:00,18.74,18.79,18.69,18.73,3004.0,,,,,,,0.0,0.0,0.0,0.0,19.282863376183375,#000000,,19.282863376183375,,32.48818096501096,-12.684006421424876,False,True,False,True,False,0.0,19.411,,0,,,False,False,False,False,,,False,False,False,False,-14334.0,6516.021541068088,False,False,False,False,10366.408108748743,False,False,False,False
2024-12-18 19:00:00+00:00,18.7,18.7,18.335,18.385,16347.0,,,,,,,0.0,0.0,0.0,0.0,19.235090727711384,#000000,,19.235090727711384,,28.833926551078775,-16.114002239434654,False,True,False,True,False,0.0,19.3998,,0,,,False,False,False,False,,,False,False,False,False,-30681.0,5939.323532679436,False,False,False,False,10459.130463651863,False,False,False,False
2024-12-18 20:00:00+00:00,18.39,18.415,17.945,18.05,47576.0,,,,,,,0.0,0.0,0.0,0.0,18.94435152074131,#000000,,18.94435152074131,,24.8301322098824,-19.768747227515398,False,True,False,True,False,0.0,19.3808,,0,,,False,False,False,False,,,False,False,False,False,-78257.0,4633.95417558363,False,False,False,False,11034.58580530067,False,False,False,False
2024-12-19 15:00:00+00:00,18.24,18.32,18.16,18.175,12237.0,,,,,,,0.0,0.0,0.0,0.0,18.923226402558694,#000000,,18.923226402558694,,24.215548160225715,-20.239751682331566,False,True,False,True,False,0.0,19.363300000000002,,0,,,False,False,False,False,,,False,False,False,False,-66020.0,3538.5440333265187,False,False,False,False,11053.227885838643,False,False,False,False
2024-12-19 16:00:00+00:00,18.175,18.225,18.065,18.11,5812.0,,,,,,,0.0,0.0,0.0,0.0,18.911125042933993,#000000,,18.911125042933993,,23.4517553715873,-20.99420646876205,False,True,False,True,False,0.0,19.3439,,0,,,False,False,False,False,,,False,False,False,False,-71832.0,2370.0084669183557,False,False,False,False,10971.968538771376,False,False,False,False
2024-12-19 17:00:00+00:00,18.105,18.11,17.985,18.065,3217.0,,,,,,,0.0,0.0,0.0,0.0,18.903411326096855,#000000,,18.903411326096855,,22.679875998513534,-21.8495566747589,False,True,False,True,False,0.0,19.3066,,0,,,False,False,False,False,,,False,False,False,False,-75049.0,1169.7137620048927,False,False,False,False,10851.736468402827,False,False,False,False
2024-12-19 18:00:00+00:00,18.07,18.155,18.02,18.145,2147.0,,,,,,,0.0,0.0,0.0,0.0,18.898920843807982,#000000,,18.898920843807982,,23.647438179265208,-21.8495566747589,False,True,False,True,False,0.0,19.2747,,0,,,False,False,False,False,,,False,False,False,False,-72902.0,21.31509902807261,False,False,False,False,10716.779313853945,False,False,False,False
